Package	Version	Built
ggplotify	0.1.3	R 4.6.1; ; 2026-09-21 17:15:04 UTC; unix
ggraph	2.2.2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-22 01:09:20 UTC; unix
ggstats	0.14.0	R 4.6.1; ; 2026-09-13 19:17:11 UTC; unix
ggtangle	0.1.2	R 4.6.1; ; 2026-09-21 17:17:01 UTC; unix
ggtext	0.2.0	R 4.6.1; ; 2026-09-13 20:02:41 UTC; unix
ggtree	4.2.0	R 4.6.1; ; 2026-09-21 17:37:05 UTC; unix
gh	1.6.1	R 4.6.1; ; 2026-09-13 19:24:22 UTC; unix
gitcreds	0.1.2	R 4.6.1; ; 2026-09-13 19:11:44 UTC; unix
glmGamPoi	1.24.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-15 10:46:33 UTC; unix
globals	0.19.1	R 4.6.1; ; 2026-09-13 17:27:03 UTC; unix
glue	1.8.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:42:57 UTC; unix
GO.db	3.23.1	R 4.6.1; ; 2026-09-21 17:14:49 UTC; unix
goftest	1.2-3	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:36:37 UTC; unix
googledrive	2.1.2	R 4.6.1; ; 2026-09-13 20:22:06 UTC; unix
googlesheets4	1.1.2	R 4.6.1; ; 2026-09-13 20:22:10 UTC; unix
GOSemSim	2.38.3	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-21 17:16:13 UTC; unix
gplots	3.3.0	R 4.6.1; ; 2026-09-13 17:34:10 UTC; unix
graphite	1.58.0	R 4.6.1; ; 2026-09-22 01:09:10 UTC; unix
graphlayouts	1.2.5	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-22 01:07:50 UTC; unix
gridBase	0.4-7	R 4.6.1; ; 2026-09-13 18:43:05 UTC; unix
gridGraphics	0.5-1	R 4.6.1; ; 2026-09-21 17:13:33 UTC; unix
gridtext	0.1.6	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:02:21 UTC; unix
GSEABase	1.74.0	R 4.6.1; ; 2026-09-13 19:33:30 UTC; unix
gson	0.2.1	R 4.6.1; ; 2026-09-21 17:16:29 UTC; unix
gtools	3.9.5	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:34:04 UTC; unix
h5mread	1.4.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-15 10:46:03 UTC; unix
harmony	2.0.5	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:29:19 UTC; unix
haven	2.5.5	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:21:28 UTC; unix
HDF5Array	1.40.0	R 4.6.1; ; 2026-09-15 10:46:18 UTC; unix
hdf5r	1.3.16	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 23:48:11 UTC; unix
here	1.0.2	R 4.6.1; ; 2026-09-13 17:34:02 UTC; unix
hms	1.1.4	R 4.6.1; ; 2026-09-13 19:14:28 UTC; unix
httr	1.4.9	R 4.6.1; ; 2026-09-13 17:30:14 UTC; unix
httr2	1.3.0	R 4.6.1; ; 2026-09-13 19:11:46 UTC; unix
ica	1.0-3	R 4.6.1; ; 2026-09-13 17:30:18 UTC; unix
ids	1.0.1	R 4.6.1; ; 2026-09-13 17:59:06 UTC; unix
igraph	2.3.3	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:05:45 UTC; unix
ini	0.3.1	R 4.6.1; ; 2026-09-13 19:11:53 UTC; unix
IRanges	2.46.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:26:03 UTC; unix
irlba	2.3.7	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:32:58 UTC; unix
iterators	1.0.14	R 4.6.1; ; 2026-09-13 18:42:55 UTC; unix
KEGGREST	1.52.2	R 4.6.1; ; 2026-09-13 18:32:05 UTC; unix
lazyeval	0.2.3	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-21 17:35:28 UTC; unix
lifecycle	1.0.5	R 4.6.1; ; 2026-09-13 19:43:41 UTC; unix
limma	3.68.5	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:25:24 UTC; unix
listenv	1.0.0	R 4.6.1; ; 2026-09-13 17:27:05 UTC; unix
listviewer	4.0.0	R 4.6.1; ; 2026-09-13 19:14:57 UTC; unix
litedown	0.11	R 4.6.1; ; 2026-09-13 17:27:19 UTC; unix
logger	0.4.3	R 4.6.1; ; 2026-09-21 16:37:20 UTC; unix
lubridate	1.9.5	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:05:15 UTC; unix
magrittr	2.0.5	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:43:12 UTC; unix
maps	3.4.3	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:14:39 UTC; unix
markdown	2.0	R 4.6.1; ; 2026-09-13 17:27:33 UTC; unix
MatrixGenerics	1.24.0	R 4.6.1; ; 2026-09-13 18:11:51 UTC; unix
metapod	1.20.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:10:31 UTC; unix
miniUI	0.1.2	R 4.6.1; ; 2026-09-13 19:12:14 UTC; unix
mixtools	2.0.0.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:48:33 UTC; unix
msigdbr	26.1.1	R 4.6.1; ; 2026-09-13 20:27:27 UTC; unix
nanoarrow	0.9.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:11:32 UTC; unix
NMF	0.28	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:37:09 UTC; unix
OmnipathR	4.0.0	R 4.6.1; ; 2026-09-21 16:37:22 UTC; unix
openssl	2.4.2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:30:09 UTC; unix
openxlsx	4.2.9	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:05:52 UTC; unix
org.Hs.eg.db	3.23.1	R 4.6.1; ; 2026-09-21 16:29:06 UTC; unix
org.Mm.eg.db	3.23.0	R 4.6.1; ; 2026-09-21 17:40:03 UTC; unix
pak	0.11.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:12:18 UTC; unix
palmerpenguins	0.1.1	R 4.6.1; ; 2026-09-13 19:15:02 UTC; unix
parallelly	1.48.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:27:07 UTC; unix
patchwork	1.3.2	R 4.6.1; ; 2026-09-13 19:11:02 UTC; unix
pbapply	1.7-5	R 4.6.1; ; 2026-09-13 17:33:04 UTC; unix
pheatmap	1.0.13	R 4.6.1; ; 2026-09-13 20:02:46 UTC; unix
pillar	1.11.1	R 4.6.1; ; 2026-09-13 19:44:16 UTC; unix
pingr	2.0.5	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:11:59 UTC; unix
pkgbuild	1.4.8	R 4.6.1; ; 2026-09-13 19:24:11 UTC; unix
pkgdown	2.2.1	R 4.6.1; ; 2026-09-13 19:30:26 UTC; unix
pkgload	1.5.3	R 4.6.1; ; 2026-09-13 19:30:09 UTC; unix
plotly	4.12.1	R 4.6.1; ; 2026-09-13 19:42:10 UTC; unix
plotlyGeoAssets	0.0.2	R 4.6.1; ; 2026-09-13 19:14:59 UTC; unix
plyr	1.8.9	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:58:09 UTC; unix
polyclip	1.10-7	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:36:25 UTC; unix
praise	1.0.0	R 4.6.1; ; 2026-09-13 19:11:30 UTC; unix
prettyunits	1.2.0	R 4.6.1; ; 2026-09-13 17:28:40 UTC; unix
princurve	2.1.6	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:24:53 UTC; unix
processx	3.9.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:58:27 UTC; unix
profvis	0.4.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:14:21 UTC; unix
progeny	1.34.0	R 4.6.1; ; 2026-09-21 16:53:56 UTC; unix
progress	1.2.3	R 4.6.1; ; 2026-09-13 19:17:15 UTC; unix
progressr	1.0.0	R 4.6.1; ; 2026-09-13 17:29:34 UTC; unix
proxy	0.4-29	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:10:12 UTC; unix
ps	1.9.3	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:52:35 UTC; unix
purrr	1.2.2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:44:11 UTC; unix
qvalue	2.44.0	R 4.6.1; ; 2026-09-21 17:14:57 UTC; unix
R.methodsS3	1.8.2	R 4.6.1; ; 2026-09-13 18:12:10 UTC; unix
R.oo	1.27.1	R 4.6.1; ; 2026-09-13 18:25:56 UTC; unix
R.utils	2.13.0	R 4.6.1; ; 2026-09-13 18:26:53 UTC; unix
